"","ARI_M","ARI_IQR","Theta_M","Theta_IQR","Beta_M","Beta_IQR","Sigma_M","Sigma_IQR"
"S1_20%_N200",1,0,0.014,0.003,0.201,0.09,0.415,0.223
"S1_20%_N500",1,0,0.009,0.001,0.141,0.068,0.383,0.125
"S1_40%_N200",1,0,0.014,0.002,0.22,0.09,0.393,0.219
"S1_40%_N500",1,0,0.009,0.001,0.166,0.084,0.345,0.175
"S4_20%_N200",1,0,0.014,0.002,0.136,0.061,0.138,0.099
"S4_20%_N500",1,0,0.009,0.001,0.091,0.041,0.106,0.091
"S4_40%_N200",1,0,0.014,0.002,0.141,0.065,0.174,0.126
"S4_40%_N500",1,0,0.009,0.001,0.089,0.046,0.152,0.111
